Timestamp,Direction,CAN ID,Length,Data (Hex),Data (Decimal),Extended,Success,Error
1970-01-01T03:06:11.997Z,RX,0x500,8,"00 01 01 00 00 00 00 03","0 1 1 0 0 0 0 3",No,Yes,
1970-01-01T03:06:11.997Z,RX,0x610,8,"05 DC 32 3C 4B 00 00 9E","5 220 50 60 75 0 0 158",No,Yes,
1970-01-01T03:06:11.998Z,RX,0x612,8,"05 DC 32 3C 4B 00 00 9C","5 220 50 60 75 0 0 156",No,Yes,
1970-01-01T03:06:11.998Z,RX,0x620,8,"02 00 FE D4 4B 00 00 1D","2 0 254 212 75 0 0 29",No,Yes,
1970-01-01T03:06:11.998Z,RX,0x630,8,"02 08 00 64 00 64 00 EC","2 8 0 100 0 100 0 236",No,Yes,
1970-01-01T03:06:11.999Z,RX,0x600,8,"00 00 00 00 00 00 00 00","0 0 0 0 0 0 0 0",No,Yes,
1970-01-01T03:06:11.999Z,RX,0x601,8,"00 00 00 00 00 00 00 00","0 0 0 0 0 0 0 0",No,Yes,
1970-01-01T03:06:11.999Z,RX,0x602,8,"00 00 00 00 00 00 00 00","0 0 0 0 0 0 0 0",No,Yes,
1970-01-01T03:06:11.999Z,RX,0x611,8,"03 00 00 00 00 00 00 03","3 0 0 0 0 0 0 3",No,Yes,
1970-01-01T03:06:12.000Z,RX,0x613,8,"03 00 00 00 00 00 00 01","3 0 0 0 0 0 0 1",No,Yes,
1970-01-01T03:06:12.097Z,RX,0x500,8,"00 01 01 00 00 00 00 03","0 1 1 0 0 0 0 3",No,Yes,
1970-01-01T03:06:12.097Z,RX,0x610,8,"05 DC 32 3C 4B 00 00 9E","5 220 50 60 75 0 0 158",No,Yes,
1970-01-01T03:06:12.098Z,RX,0x612,8,"05 DC 32 3C 4B 00 00 9C","5 220 50 60 75 0 0 156",No,Yes,
1970-01-01T03:06:12.098Z,RX,0x620,8,"02 00 FE D4 4B 00 00 1D","2 0 254 212 75 0 0 29",No,Yes,
1970-01-01T03:06:12.098Z,RX,0x630,8,"02 08 00 64 00 64 00 EC","2 8 0 100 0 100 0 236",No,Yes,
1970-01-01T03:06:12.197Z,RX,0x500,8,"00 01 01 00 00 00 00 03","0 1 1 0 0 0 0 3",No,Yes,
1970-01-01T03:06:12.197Z,RX,0x610,8,"05 DC 32 3C 4B 00 00 9E","5 220 50 60 75 0 0 158",No,Yes,
1970-01-01T03:06:12.198Z,RX,0x612,8,"05 DC 32 3C 4B 00 00 9C","5 220 50 60 75 0 0 156",No,Yes,
1970-01-01T03:06:12.198Z,RX,0x620,8,"02 00 FE D4 4B 00 00 1D","2 0 254 212 75 0 0 29",No,Yes,
1970-01-01T03:06:12.198Z,RX,0x630,8,"02 08 00 64 00 64 00 EC","2 8 0 100 0 100 0 236",No,Yes,
1970-01-01T03:06:12.297Z,RX,0x500,8,"00 01 01 00 00 00 00 03","0 1 1 0 0 0 0 3",No,Yes,
1970-01-01T03:06:12.297Z,RX,0x610,8,"05 DC 32 3C 4B 00 00 9E","5 220 50 60 75 0 0 158",No,Yes,
1970-01-01T03:06:12.297Z,RX,0x612,8,"05 DC 32 3C 4B 00 00 9C","5 220 50 60 75 0 0 156",No,Yes,
1970-01-01T03:06:12.298Z,RX,0x620,8,"02 00 FE D4 4B 00 00 1D","2 0 254 212 75 0 0 29",No,Yes,
1970-01-01T03:06:12.298Z,RX,0x630,8,"02 08 00 64 00 64 00 EC","2 8 0 100 0 100 0 236",No,Yes,
1970-01-01T03:06:12.397Z,RX,0x500,8,"00 01 01 00 00 00 00 03","0 1 1 0 0 0 0 3",No,Yes,
1970-01-01T03:06:12.397Z,RX,0x610,8,"05 DC 32 3C 4B 00 00 9E","5 220 50 60 75 0 0 158",No,Yes,
